ma_bg,ngay_tao,ngay_het_hieu_luc,ngay_het_hieu_luc_goc,ma_kh,ma_da,nguoi_duyet,vai_tro_nguoi_duyet,kenh_duyet,co_chung_tu,gia_tri,pct_ck,ma_khung,gia_han
BG0026,2026-01-30,2026-04-25,2026-04-25,KH02,DA02,Phạm GĐ,Trưởng KD,Email,Y,700000000,7.5,CK-DA-2026,N
BG0027,2026-04-17,2026-06-16,2026-06-16,KH03,DA03,Phạm GĐ,Giám đốc CN,Email,Y,1500000000,3.0,CK-DA-2026,N
BG0028,2026-02-13,2026-05-09,2026-05-09,KH04,DA04,Phạm GĐ,Giám đốc CN,Zalo,Y,1700000000,5.3,CK-DA-2026,N
BG0029,2026-04-02,2026-06-01,2026-06-01,KH05,DA05,Phạm GĐ,Giám đốc CN,System,Y,2200000000,7.4,CK-DA-2026,N
BG0030,2026-01-24,2026-03-25,2026-03-25,KH06,DA06,Hoàng TGĐ,Trưởng KD,Zalo,Y,600000000,3.8,CK-DA-2026,N
BG0031,2026-05-25,2026-07-24,2026-07-24,KH07,DA07,Hoàng TGĐ,Giám đốc CN,Zalo,Y,2400000000,8.2,CK-DA-2026,N
BG0032,2026-05-19,2026-07-18,2026-07-18,KH08,DA08,Lê Trưởng KD,Giám đốc CN,Email,Y,2000000000,5.1,CK-DA-2026,N
BG0033,2026-02-17,2026-04-18,2026-04-18,KH09,DA09,Phạm GĐ,Giám đốc CN,Email,Y,1300000000,8.6,CK-DA-2026,N
BG0034,2026-02-09,2026-04-10,2026-04-10,KH10,DA10,Lê Trưởng KD,Giám đốc CN,Zalo,Y,1500000000,8.4,CK-DA-2026,N
BG0035,2026-02-05,2026-04-06,2026-04-06,KH11,DA11,Lê Trưởng KD,Giám đốc CN,Email,Y,2200000000,3.6,CK-DA-2026,N
BG0036,2026-02-04,2026-04-05,2026-04-05,KH12,DA12,Lê Trưởng KD,Trưởng KD,Email,Y,600000000,5.4,CK-DA-2026,N
BG0037,2026-05-16,2026-07-15,2026-07-15,KH01,DA01,Hoàng TGĐ,Giám đốc CN,System,Y,1600000000,6.4,CK-DA-2026,N
BG0038,2026-01-20,2026-03-21,2026-03-21,KH02,DA02,Phạm GĐ,Giám đốc CN,Email,Y,1300000000,7.5,CK-DA-2026,N
BG0039,2026-04-01,2026-05-31,2026-05-31,KH03,DA03,Lê Trưởng KD,Trưởng KD,Zalo,Y,300000000,5.2,CK-DA-2026,N
BG0040,2026-01-19,2026-03-20,2026-03-20,KH04,DA04,Phạm GĐ,Giám đốc CN,Email,Y,2400000000,7.8,CK-DA-2026,N
BG0041,2026-01-17,2026-03-18,2026-03-18,KH05,DA05,Lê Trưởng KD,Giám đốc CN,Zalo,Y,1800000000,3.8,CK-DA-2026,N
BG0042,2026-01-09,2026-03-10,2026-03-10,KH06,DA06,Phạm GĐ,Giám đốc CN,Email,Y,2100000000,4.3,CK-DA-2026,N
BG0043,2026-04-06,2026-06-05,2026-06-05,KH07,DA07,Hoàng TGĐ,Giám đốc CN,System,Y,2100000000,6.7,CK-DA-2026,N
BG0044,2026-04-03,2026-06-02,2026-06-02,KH08,DA08,Phạm GĐ,Trưởng KD,System,Y,400000000,3.1,CK-DA-2026,N
BG0045,2026-01-21,2026-03-22,2026-03-22,KH09,DA09,Phạm GĐ,Giám đốc CN,System,Y,2000000000,3.8,CK-DA-2026,N
BG0046,2026-02-06,2026-04-07,2026-04-07,KH10,DA10,Phạm GĐ,Giám đốc CN,Zalo,Y,1300000000,6.2,CK-DA-2026,N
BG0047,2026-01-21,2026-03-22,2026-03-22,KH11,DA11,Lê Trưởng KD,Giám đốc CN,System,Y,2500000000,7.7,CK-DA-2026,N
BG0048,2026-04-15,2026-06-14,2026-06-14,KH12,DA12,Phạm GĐ,Trưởng KD,Email,Y,500000000,4.8,CK-DA-2026,N
BG0049,2026-05-06,2026-07-05,2026-07-05,KH01,DA01,Hoàng TGĐ,Giám đốc CN,Email,Y,1200000000,8.0,CK-DA-2026,N
BG0050,2026-02-14,2026-04-15,2026-04-15,KH02,DA02,Lê Trưởng KD,Trưởng KD,System,Y,700000000,5.2,CK-DA-2026,N
BG0051,2026-03-26,2026-05-25,2026-05-25,KH03,DA03,Hoàng TGĐ,Trưởng KD,Zalo,Y,700000000,7.2,CK-DA-2026,N
BG0052,2026-04-02,2026-06-01,2026-06-01,KH04,DA04,Lê Trưởng KD,Trưởng KD,System,Y,800000000,4.3,CK-DA-2026,N
