ma_don,buoc,thu_tu,timestamp,user,co_chung_tu
DH00010,thanh_toan,7,2026-06-15T04:00:00,kd01,N
DH00011,tham_dinh_da,1,2026-03-22T00:00:00,tgd,Y
DH00011,tgd_duyet,2,2026-03-23T04:00:00,tgd,Y
DH00011,xac_nhan_coc,3,2026-03-24T02:00:00,tgd,Y
DH00011,check_cong_no,4,2026-03-25T02:00:00,kd01,Y
DH00011,dat_don,5,2026-03-26T03:00:00,kt01,Y
DH00011,giao_hang,6,2026-03-27T07:00:00,kt01,N
DH00011,thanh_toan,7,2026-03-28T06:00:00,kt01,Y
DH00012,tham_dinh_da,1,2026-03-09T07:00:00,kd01,N
DH00012,tgd_duyet,2,2026-03-10T02:00:00,kt01,Y
DH00012,xac_nhan_coc,3,2026-03-11T08:00:00,tgd,Y
DH00012,check_cong_no,4,2026-03-12T02:00:00,kt01,Y
DH00012,dat_don,5,2026-03-13T00:00:00,kho01,N
DH00012,giao_hang,6,2026-03-14T07:00:00,kd01,Y
DH00012,thanh_toan,7,2026-03-15T03:00:00,tgd,Y
DH00013,tham_dinh_da,1,2026-04-17T07:00:00,kho01,N
DH00013,tgd_duyet,2,2026-04-18T03:00:00,kd01,Y
DH00013,xac_nhan_coc,3,2026-04-19T01:00:00,tgd,Y
DH00013,check_cong_no,4,2026-04-20T01:00:00,kho01,N
DH00013,dat_don,5,2026-04-21T05:00:00,kd01,N
DH00013,giao_hang,6,2026-04-22T08:00:00,tgd,N
DH00013,thanh_toan,7,2026-04-23T00:00:00,kd01,Y
DH00014,tham_dinh_da,1,2026-05-12T01:00:00,kd01,Y
DH00014,tgd_duyet,2,2026-05-13T01:00:00,kho01,N
DH00014,xac_nhan_coc,3,2026-05-14T00:00:00,kt01,Y
DH00014,check_cong_no,4,2026-05-15T03:00:00,kd01,Y
DH00014,dat_don,5,2026-05-16T00:00:00,tgd,Y
DH00014,giao_hang,6,2026-05-17T00:00:00,kho01,N
DH00014,thanh_toan,7,2026-05-18T01:00:00,kd01,N
DH00015,tham_dinh_da,1,2026-02-24T02:00:00,tgd,Y
DH00015,tgd_duyet,2,2026-02-25T01:00:00,tgd,N
DH00015,xac_nhan_coc,3,2026-02-26T00:00:00,kho01,Y
DH00015,check_cong_no,4,2026-02-27T01:00:00,kt01,N
DH00015,dat_don,5,2026-02-28T07:00:00,kho01,Y
DH00015,giao_hang,6,2026-03-01T03:00:00,tgd,Y
DH00015,thanh_toan,7,2026-03-02T00:00:00,tgd,N
DH00016,tham_dinh_da,1,2026-04-17T05:00:00,kt01,N
DH00016,tgd_duyet,2,2026-04-18T08:00:00,tgd,Y
DH00016,xac_nhan_coc,3,2026-04-19T02:00:00,kt01,N
DH00016,check_cong_no,4,2026-04-20T06:00:00,kt01,N
DH00016,dat_don,5,2026-04-21T02:00:00,kd01,N
DH00016,giao_hang,6,2026-04-22T00:00:00,kho01,N
DH00016,thanh_toan,7,2026-04-23T07:00:00,kt01,Y
DH00017,tham_dinh_da,1,2026-03-29T08:00:00,kt01,Y
DH00017,tgd_duyet,2,2026-03-30T06:00:00,kt01,Y
DH00017,xac_nhan_coc,3,2026-03-31T07:00:00,kho01,Y
DH00017,check_cong_no,4,2026-04-01T01:00:00,kd01,N
DH00017,dat_don,5,2026-04-02T04:00:00,kd01,N
DH00017,giao_hang,6,2026-04-03T02:00:00,tgd,Y
DH00017,thanh_toan,7,2026-04-04T01:00:00,kd01,N
DH00018,tham_dinh_da,1,2026-06-09T03:00:00,tgd,Y
DH00018,tgd_duyet,2,2026-06-10T06:00:00,kho01,Y
DH00018,xac_nhan_coc,3,2026-06-11T02:00:00,tgd,Y
DH00018,check_cong_no,4,2026-06-12T07:00:00,kd01,N
DH00018,dat_don,5,2026-06-13T02:00:00,tgd,Y
DH00018,giao_hang,6,2026-06-14T06:00:00,kt01,Y
DH00018,thanh_toan,7,2026-06-15T06:00:00,kt01,Y
DH00019,tham_dinh_da,1,2026-03-11T06:00:00,kho01,N
DH00019,tgd_duyet,2,2026-03-12T06:00:00,kt01,Y
DH00019,xac_nhan_coc,3,2026-03-13T08:00:00,kho01,N
DH00019,check_cong_no,4,2026-03-14T00:00:00,kho01,Y
DH00019,dat_don,5,2026-03-15T04:00:00,kt01,N
DH00019,giao_hang,6,2026-03-16T02:00:00,kho01,Y
DH00019,thanh_toan,7,2026-03-17T04:00:00,kd01,Y
DH00020,tham_dinh_da,1,2026-05-22T04:00:00,kt01,Y
DH00020,tgd_duyet,2,2026-05-23T08:00:00,kho01,N
DH00020,xac_nhan_coc,3,2026-05-24T02:00:00,tgd,Y
DH00020,check_cong_no,4,2026-05-25T07:00:00,kd01,Y
DH00020,dat_don,5,2026-05-26T02:00:00,kd01,Y
DH00020,giao_hang,6,2026-05-27T07:00:00,kt01,Y
DH00020,thanh_toan,7,2026-05-28T06:00:00,kt01,N
DH00021,tham_dinh_da,1,2026-04-11T05:00:00,kho01,N
DH00021,tgd_duyet,2,2026-04-12T05:00:00,kho01,Y
DH00021,xac_nhan_coc,3,2026-04-13T08:00:00,tgd,Y
DH00021,check_cong_no,4,2026-04-14T05:00:00,tgd,Y
DH00021,dat_don,5,2026-04-15T01:00:00,kho01,Y
DH00021,giao_hang,6,2026-04-16T05:00:00,tgd,Y
DH00021,thanh_toan,7,2026-04-17T03:00:00,kt01,N
DH00022,tham_dinh_da,1,2026-05-29T07:00:00,kho01,N
DH00022,tgd_duyet,2,2026-05-30T04:00:00,kt01,N
DH00022,xac_nhan_coc,3,2026-05-31T02:00:00,kt01,N
DH00022,check_cong_no,4,2026-06-01T04:00:00,kt01,Y
DH00022,dat_don,5,2026-06-02T00:00:00,kt01,N
DH00022,giao_hang,6,2026-06-03T04:00:00,kho01,Y
DH00022,thanh_toan,7,2026-06-04T05:00:00,kt01,Y
DH00023,tham_dinh_da,1,2026-03-31T02:00:00,tgd,N
DH00023,tgd_duyet,2,2026-04-01T04:00:00,kho01,Y
DH00023,xac_nhan_coc,3,2026-04-02T07:00:00,kt01,N
DH00023,check_cong_no,4,2026-04-03T01:00:00,kt01,Y
DH00023,dat_don,5,2026-04-04T04:00:00,kd01,Y
DH00023,giao_hang,6,2026-04-05T07:00:00,tgd,Y
DH00023,thanh_toan,7,2026-04-06T06:00:00,kho01,Y
DH00024,tham_dinh_da,1,2026-05-10T05:00:00,kho01,N
DH00024,tgd_duyet,2,2026-05-11T01:00:00,kho01,Y
DH00024,xac_nhan_coc,3,2026-05-12T01:00:00,kho01,Y
DH00024,check_cong_no,4,2026-05-13T04:00:00,kd01,Y
DH00024,dat_don,5,2026-05-14T03:00:00,kt01,Y
DH00024,giao_hang,6,2026-05-15T00:00:00,kd01,N
DH00024,thanh_toan,7,2026-05-16T04:00:00,kt01,N
DH00025,tham_dinh_da,1,2026-03-09T04:00:00,kd01,N
DH00025,tgd_duyet,2,2026-03-10T08:00:00,kd01,N
DH00025,xac_nhan_coc,3,2026-03-11T05:00:00,kd01,N
DH00025,check_cong_no,4,2026-03-12T08:00:00,kt01,Y
DH00025,dat_don,5,2026-03-13T03:00:00,kd01,Y
DH00025,giao_hang,6,2026-03-14T02:00:00,tgd,N
DH00025,thanh_toan,7,2026-03-15T00:00:00,tgd,Y
DH00026,tham_dinh_da,1,2026-02-09T04:00:00,kho01,Y
DH00026,tgd_duyet,2,2026-02-10T01:00:00,kho01,Y
DH00026,xac_nhan_coc,3,2026-02-11T04:00:00,kd01,N
DH00026,check_cong_no,4,2026-02-12T00:00:00,kd01,Y
DH00026,dat_don,5,2026-02-13T01:00:00,kd01,Y
DH00026,giao_hang,6,2026-02-14T03:00:00,kt01,Y
DH00026,thanh_toan,7,2026-02-15T04:00:00,kt01,Y
DH00027,tham_dinh_da,1,2026-05-27T04:00:00,kho01,Y
DH00027,tgd_duyet,2,2026-05-28T01:00:00,kt01,Y
DH00027,xac_nhan_coc,3,2026-05-29T08:00:00,kho01,Y
DH00027,check_cong_no,4,2026-05-30T08:00:00,kt01,N
DH00027,dat_don,5,2026-05-31T04:00:00,kd01,N
DH00027,giao_hang,6,2026-06-01T08:00:00,kd01,Y
DH00027,thanh_toan,7,2026-06-02T05:00:00,tgd,Y
DH00028,tham_dinh_da,1,2026-03-03T03:00:00,tgd,Y
DH00028,tgd_duyet,2,2026-03-04T03:00:00,tgd,Y
DH00028,xac_nhan_coc,3,2026-03-05T05:00:00,tgd,Y
DH00028,check_cong_no,4,2026-03-06T05:00:00,kd01,N
DH00028,dat_don,5,2026-03-07T06:00:00,kt01,Y
DH00028,giao_hang,6,2026-03-08T08:00:00,kd01,N
DH00028,thanh_toan,7,2026-03-09T05:00:00,tgd,Y
DH00029,tham_dinh_da,1,2026-05-10T02:00:00,tgd,N
DH00029,tgd_duyet,2,2026-05-11T04:00:00,kho01,Y
DH00029,xac_nhan_coc,3,2026-05-12T07:00:00,kd01,Y
DH00029,check_cong_no,4,2026-05-13T06:00:00,kt01,N
DH00029,dat_don,5,2026-05-14T06:00:00,kd01,N
DH00029,giao_hang,6,2026-05-15T05:00:00,kd01,Y
DH00029,thanh_toan,7,2026-05-16T01:00:00,kho01,N
DH00030,tham_dinh_da,1,2026-01-31T03:00:00,kt01,Y
DH00030,tgd_duyet,2,2026-02-01T01:00:00,kd01,Y
DH00030,xac_nhan_coc,3,2026-02-02T05:00:00,tgd,N
DH00030,check_cong_no,4,2026-02-03T02:00:00,kho01,N
DH00030,dat_don,5,2026-02-04T00:00:00,kt01,Y
DH00030,giao_hang,6,2026-02-05T03:00:00,tgd,N
DH00030,thanh_toan,7,2026-02-06T01:00:00,kt01,N
DH00031,tham_dinh_da,1,2026-07-05T01:00:00,kt01,Y
DH00031,tgd_duyet,2,2026-07-06T03:00:00,kd01,N
DH00031,check_cong_no,3,2026-07-07T03:00:00,kt01,N
DH00031,dat_don,4,2026-07-08T07:00:00,kd01,Y
DH00031,giao_hang,5,2026-07-09T08:00:00,kho01,N
DH00031,thanh_toan,6,2026-07-10T03:00:00,kho01,N
DH00032,tham_dinh_da,1,2026-06-21T05:00:00,kd01,N
DH00032,tgd_duyet,2,2026-06-22T01:00:00,tgd,N
DH00032,xac_nhan_coc,3,2026-06-23T00:00:00,kt01,N
DH00032,check_cong_no,4,2026-06-24T03:00:00,kho01,Y
DH00032,dat_don,5,2026-06-25T00:00:00,kho01,Y
DH00032,giao_hang,6,2026-06-26T03:00:00,kd01,Y
DH00032,thanh_toan,7,2026-06-27T06:00:00,kho01,Y
DH00033,tham_dinh_da,1,2026-03-03T07:00:00,kd01,N
DH00033,tgd_duyet,2,2026-03-04T07:00:00,kho01,Y
DH00033,xac_nhan_coc,3,2026-03-05T07:00:00,kd01,Y
DH00033,check_cong_no,4,2026-03-06T04:00:00,kd01,Y
DH00033,dat_don,5,2026-03-07T03:00:00,kd01,Y
DH00033,giao_hang,6,2026-03-08T02:00:00,tgd,Y
DH00033,thanh_toan,7,2026-03-09T07:00:00,tgd,Y
DH00034,tham_dinh_da,1,2026-02-25T03:00:00,kt01,N
DH00034,tgd_duyet,2,2026-02-26T07:00:00,tgd,N
DH00034,xac_nhan_coc,3,2026-02-27T08:00:00,kho01,N
DH00034,dat_don,4,2026-02-28T08:00:00,kd01,N
DH00034,giao_hang,5,2026-03-01T03:00:00,tgd,Y
DH00034,thanh_toan,6,2026-03-02T06:00:00,kd01,Y
DH00035,tham_dinh_da,1,2026-03-03T05:00:00,kt01,N
DH00035,tgd_duyet,2,2026-03-04T05:00:00,kho01,Y
DH00035,xac_nhan_coc,3,2026-03-05T04:00:00,tgd,N
DH00035,check_cong_no,4,2026-03-06T08:00:00,kt01,N
DH00035,dat_don,5,2026-03-07T04:00:00,kho01,N
DH00035,giao_hang,6,2026-03-08T02:00:00,kd01,Y
DH00035,thanh_toan,7,2026-03-09T01:00:00,kho01,Y
DH00036,tham_dinh_da,1,2026-03-06T00:00:00,tgd,Y
DH00036,tgd_duyet,2,2026-03-07T07:00:00,kt01,N
DH00036,xac_nhan_coc,3,2026-03-08T06:00:00,kho01,Y
DH00036,check_cong_no,4,2026-03-09T00:00:00,kho01,N
DH00036,dat_don,5,2026-03-10T02:00:00,tgd,Y
DH00036,giao_hang,6,2026-03-11T02:00:00,kt01,N
DH00036,thanh_toan,7,2026-03-12T06:00:00,kt01,Y
DH00037,tham_dinh_da,1,2026-05-28T08:00:00,kd01,Y
DH00037,tgd_duyet,2,2026-05-29T03:00:00,kho01,N
DH00037,xac_nhan_coc,3,2026-05-30T02:00:00,tgd,Y
DH00037,check_cong_no,4,2026-05-31T06:00:00,tgd,Y
DH00037,dat_don,5,2026-06-01T02:00:00,kd01,Y
DH00037,giao_hang,6,2026-06-02T08:00:00,kd01,N
DH00037,thanh_toan,7,2026-06-03T03:00:00,kd01,Y
DH00038,tham_dinh_da,1,2026-02-08T04:00:00,kt01,N
DH00038,xac_nhan_coc,2,2026-02-09T08:00:00,kt01,Y
DH00038,tgd_duyet,3,2026-02-10T00:00:00,kt01,Y
DH00038,check_cong_no,4,2026-02-11T01:00:00,kd01,N
DH00038,dat_don,5,2026-02-12T07:00:00,kt01,Y
DH00038,giao_hang,6,2026-02-13T00:00:00,kd01,Y
DH00038,thanh_toan,7,2026-02-14T04:00:00,kt01,Y
DH00039,tham_dinh_da,1,2026-05-09T04:00:00,tgd,Y
DH00039,tgd_duyet,2,2026-05-10T06:00:00,kd01,Y
DH00039,xac_nhan_coc,3,2026-05-11T07:00:00,tgd,Y
DH00039,check_cong_no,4,2026-05-12T04:00:00,kd01,Y
DH00039,dat_don,5,2026-05-13T02:00:00,kho01,N
DH00039,giao_hang,6,2026-05-14T02:00:00,kd01,N
DH00039,thanh_toan,7,2026-05-15T02:00:00,kd01,Y
DH00040,tham_dinh_da,1,2026-02-20T00:00:00,kho01,Y
DH00040,tgd_duyet,2,2026-02-21T02:00:00,kho01,Y
DH00040,xac_nhan_coc,3,2026-02-22T02:00:00,tgd,Y
DH00040,check_cong_no,4,2026-02-23T03:00:00,tgd,N
DH00040,dat_don,5,2026-02-24T03:00:00,kd01,N
DH00040,giao_hang,6,2026-02-25T06:00:00,kho01,N
DH00040,thanh_toan,7,2026-02-26T02:00:00,tgd,Y
DH00041,tham_dinh_da,1,2026-01-24T05:00:00,tgd,Y
DH00041,tgd_duyet,2,2026-01-25T01:00:00,kho01,Y
DH00041,xac_nhan_coc,3,2026-01-26T08:00:00,tgd,N
DH00041,check_cong_no,4,2026-01-27T01:00:00,kt01,N
DH00041,dat_don,5,2026-01-28T03:00:00,kt01,N
DH00041,giao_hang,6,2026-01-29T00:00:00,kho01,N
DH00041,thanh_toan,7,2026-01-30T02:00:00,kt01,Y
DH00042,tham_dinh_da,1,2026-01-15T03:00:00,kho01,N
DH00042,tgd_duyet,2,2026-01-16T08:00:00,kd01,Y
DH00042,xac_nhan_coc,3,2026-01-17T05:00:00,kd01,Y
DH00042,check_cong_no,4,2026-01-18T04:00:00,kho01,Y
DH00042,dat_don,5,2026-01-19T00:00:00,kt01,Y
DH00042,giao_hang,6,2026-01-20T01:00:00,kt01,Y
DH00042,thanh_toan,7,2026-01-21T00:00:00,tgd,Y
DH00043,tham_dinh_da,1,2026-04-27T08:00:00,kho01,N
DH00043,tgd_duyet,2,2026-04-28T02:00:00,tgd,N
DH00043,xac_nhan_coc,3,2026-04-29T04:00:00,kd01,N
DH00043,check_cong_no,4,2026-04-30T01:00:00,kt01,N
DH00043,dat_don,5,2026-05-01T06:00:00,tgd,N
DH00043,giao_hang,6,2026-05-02T05:00:00,kt01,Y
DH00043,thanh_toan,7,2026-05-03T07:00:00,kd01,Y
DH00044,tham_dinh_da,1,2026-05-15T08:00:00,kho01,Y
DH00044,tgd_duyet,2,2026-05-16T07:00:00,kt01,N
DH00044,xac_nhan_coc,3,2026-05-17T01:00:00,kd01,N
DH00044,check_cong_no,4,2026-05-18T07:00:00,tgd,Y
DH00044,dat_don,5,2026-05-19T08:00:00,kd01,Y
DH00044,giao_hang,6,2026-05-20T05:00:00,kd01,N
DH00044,thanh_toan,7,2026-05-21T08:00:00,tgd,Y
DH00045,tham_dinh_da,1,2026-02-02T05:00:00,tgd,N
DH00045,tgd_duyet,2,2026-02-03T02:00:00,tgd,Y
DH00045,xac_nhan_coc,3,2026-02-04T00:00:00,kt01,N
DH00045,check_cong_no,4,2026-02-05T03:00:00,kt01,Y
DH00045,dat_don,5,2026-02-06T07:00:00,tgd,Y
DH00045,giao_hang,6,2026-02-07T04:00:00,kt01,Y
DH00045,thanh_toan,7,2026-02-08T05:00:00,tgd,Y
DH00046,tham_dinh_da,1,2026-02-21T05:00:00,kho01,N
DH00046,tgd_duyet,2,2026-02-22T01:00:00,kt01,Y
DH00046,xac_nhan_coc,3,2026-02-23T01:00:00,kd01,Y
DH00046,check_cong_no,4,2026-02-24T00:00:00,kho01,Y
DH00046,dat_don,5,2026-02-25T02:00:00,kd01,N
DH00046,giao_hang,6,2026-02-26T02:00:00,kt01,Y
DH00046,thanh_toan,7,2026-02-27T05:00:00,tgd,N
DH00047,tham_dinh_da,1,2026-02-25T01:00:00,kt01,N
DH00047,tgd_duyet,2,2026-02-26T01:00:00,tgd,Y
DH00047,xac_nhan_coc,3,2026-02-27T08:00:00,kt01,Y
DH00047,check_cong_no,4,2026-02-28T03:00:00,kho01,Y
DH00047,dat_don,5,2026-03-01T03:00:00,kd01,Y
DH00047,giao_hang,6,2026-03-02T05:00:00,tgd,Y
DH00047,thanh_toan,7,2026-03-03T00:00:00,tgd,Y
DH00048,tham_dinh_da,1,2026-04-22T04:00:00,kt01,N
DH00048,tgd_duyet,2,2026-04-23T05:00:00,kho01,N
DH00048,xac_nhan_coc,3,2026-04-24T02:00:00,tgd,Y
DH00048,check_cong_no,4,2026-04-25T08:00:00,kt01,N
DH00048,dat_don,5,2026-04-26T00:00:00,kho01,Y
DH00048,giao_hang,6,2026-04-27T03:00:00,kt01,Y
DH00048,thanh_toan,7,2026-04-28T02:00:00,kho01,N
DH00049,tham_dinh_da,1,2026-05-24T02:00:00,kd01,Y
DH00049,tgd_duyet,2,2026-05-25T08:00:00,tgd,N
DH00049,xac_nhan_coc,3,2026-05-26T04:00:00,kt01,Y
DH00049,check_cong_no,4,2026-05-27T04:00:00,kt01,Y
DH00049,dat_don,5,2026-05-28T06:00:00,tgd,N
DH00049,giao_hang,6,2026-05-29T00:00:00,kho01,N
DH00049,thanh_toan,7,2026-05-30T08:00:00,kho01,Y
DH00050,tham_dinh_da,1,2026-03-12T03:00:00,kho01,Y
DH00050,tgd_duyet,2,2026-03-13T07:00:00,tgd,Y
DH00050,xac_nhan_coc,3,2026-03-14T08:00:00,tgd,N
DH00050,check_cong_no,4,2026-03-15T04:00:00,kt01,Y
DH00050,dat_don,5,2026-03-16T08:00:00,kho01,Y
DH00050,giao_hang,6,2026-03-17T05:00:00,kt01,Y
DH00050,thanh_toan,7,2026-03-18T08:00:00,kd01,N
DH00051,tham_dinh_da,1,2026-04-21T06:00:00,kt01,Y
DH00051,tgd_duyet,2,2026-04-22T01:00:00,kt01,Y
DH00051,xac_nhan_coc,3,2026-04-23T02:00:00,kho01,N
DH00051,check_cong_no,4,2026-04-24T00:00:00,kd01,Y
DH00051,dat_don,5,2026-04-25T03:00:00,kd01,N
DH00051,giao_hang,6,2026-04-26T04:00:00,kd01,N
DH00051,thanh_toan,7,2026-04-27T03:00:00,kd01,Y
DH00052,tham_dinh_da,1,2026-04-07T08:00:00,kd01,Y
DH00052,tgd_duyet,2,2026-04-08T05:00:00,tgd,Y
DH00052,xac_nhan_coc,3,2026-04-09T03:00:00,kho01,Y
DH00052,check_cong_no,4,2026-04-10T03:00:00,tgd,N
DH00052,dat_don,5,2026-04-11T05:00:00,kd01,Y
DH00052,giao_hang,6,2026-04-12T03:00:00,kt01,N
DH00052,thanh_toan,7,2026-04-13T00:00:00,kt01,Y
DH00053,tham_dinh_da,1,2026-03-17T01:00:00,kho01,Y
DH00053,tgd_duyet,2,2026-03-18T06:00:00,kho01,Y
DH00053,xac_nhan_coc,3,2026-03-19T06:00:00,kd01,N
DH00053,check_cong_no,4,2026-03-20T01:00:00,kd01,Y
DH00053,dat_don,5,2026-03-21T05:00:00,kho01,Y
DH00053,giao_hang,6,2026-03-22T03:00:00,kd01,Y
DH00053,thanh_toan,7,2026-03-23T00:00:00,tgd,Y
DH00054,tham_dinh_da,1,2026-05-09T06:00:00,kd01,Y
DH00054,tgd_duyet,2,2026-05-10T08:00:00,tgd,N
DH00054,xac_nhan_coc,3,2026-05-11T02:00:00,kho01,Y
DH00054,check_cong_no,4,2026-05-12T01:00:00,kd01,Y
DH00054,dat_don,5,2026-05-13T04:00:00,kho01,N
DH00054,giao_hang,6,2026-05-14T02:00:00,tgd,N
DH00054,thanh_toan,7,2026-05-15T08:00:00,kd01,Y
DH00055,tham_dinh_da,1,2026-03-09T07:00:00,kd01,Y
DH00055,tgd_duyet,2,2026-03-10T03:00:00,kt01,Y
DH00055,xac_nhan_coc,3,2026-03-11T05:00:00,kho01,N
DH00055,check_cong_no,4,2026-03-12T02:00:00,tgd,Y
DH00055,dat_don,5,2026-03-13T02:00:00,kd01,Y
DH00055,giao_hang,6,2026-03-14T07:00:00,kd01,Y
DH00055,thanh_toan,7,2026-03-15T01:00:00,kd01,N
DH00056,tham_dinh_da,1,2026-04-11T03:00:00,kt01,Y
DH00056,tgd_duyet,2,2026-04-12T07:00:00,kd01,Y
DH00056,xac_nhan_coc,3,2026-04-13T06:00:00,tgd,Y
DH00056,check_cong_no,4,2026-04-14T01:00:00,tgd,Y
DH00056,dat_don,5,2026-04-15T00:00:00,kho01,Y
DH00056,giao_hang,6,2026-04-16T07:00:00,tgd,Y
DH00056,thanh_toan,7,2026-04-17T08:00:00,kho01,N
DH00057,tham_dinh_da,1,2026-05-14T03:00:00,kd01,N
DH00057,tgd_duyet,2,2026-05-15T02:00:00,tgd,Y
DH00057,xac_nhan_coc,3,2026-05-16T06:00:00,kho01,Y
DH00057,check_cong_no,4,2026-05-17T00:00:00,kd01,Y
DH00057,dat_don,5,2026-05-18T07:00:00,kt01,Y
DH00057,giao_hang,6,2026-05-19T07:00:00,tgd,Y
DH00057,thanh_toan,7,2026-05-20T05:00:00,kt01,N
DH00058,tham_dinh_da,1,2026-04-18T07:00:00,kho01,Y
DH00058,tgd_duyet,2,2026-04-19T06:00:00,kd01,Y
DH00058,xac_nhan_coc,3,2026-04-20T03:00:00,kt01,Y
DH00058,check_cong_no,4,2026-04-21T01:00:00,kt01,Y
DH00058,dat_don,5,2026-04-22T04:00:00,tgd,Y
DH00058,giao_hang,6,2026-04-23T00:00:00,kt01,N
DH00058,thanh_toan,7,2026-04-24T07:00:00,kt01,Y
DH00059,tham_dinh_da,1,2026-02-21T02:00:00,kd01,N
DH00059,tgd_duyet,2,2026-02-22T03:00:00,kd01,N
DH00059,xac_nhan_coc,3,2026-02-23T00:00:00,kd01,N
DH00059,check_cong_no,4,2026-02-24T03:00:00,kd01,Y
DH00059,dat_don,5,2026-02-25T07:00:00,kho01,Y
