ma_don,sku,phan_loai,so_luong,gia_tri
DH00039,ACSV-95,du_an,1658,348180000
DH00039,CXV-1x300,du_an,203,109620000
DH00039,CV-1.5,dan_dung,693,8316000
DH00040,ACSV-95,du_an,1145,240450000
DH00040,CXV-3x240,du_an,1203,1624050000
DH00040,ACSV-95,du_an,655,137550000
DH00040,CV-2.5,dan_dung,1885,35815000
DH00041,CXV-1x300,du_an,691,373140000
DH00041,AXV-150,du_an,1006,321920000
DH00041,AXV-150,du_an,1408,450560000
DH00042,AXV-150,du_an,1465,468800000
DH00042,AXV-150,du_an,491,157120000
DH00042,AXV-150,du_an,1951,624320000
DH00043,CXV-3x240,du_an,1593,2150550000
DH00043,AXV-150,du_an,928,296960000
DH00044,CXV-1x300,du_an,1329,717660000
DH00044,AXV-150,du_an,1337,427840000
DH00045,CXV-1x300,du_an,581,313740000
DH00045,CXV-4x185,du_an,861,1015980000
DH00045,CV-1.5,dan_dung,1732,20784000
DH00046,CXV-4x185,du_an,351,414180000
DH00046,CXV-3x240,du_an,786,1061100000
DH00046,CXV-1x300,du_an,1902,1027080000
DH00046,VCmd-2x1.5,dan_dung,584,15768000
DH00047,CXV-4x185,du_an,1771,2089780000
DH00048,AXV-150,du_an,1469,470080000
DH00049,AXV-150,du_an,484,154880000
DH00049,CV-2.5,dan_dung,1683,31977000
DH00050,ACSV-95,du_an,811,170310000
DH00050,CXV-3x240,du_an,907,1224450000
DH00050,CXV-3x240,du_an,1379,1861650000
DH00050,CV-2.5,dan_dung,2903,55157000
DH00051,AXV-150,du_an,1271,406720000
DH00051,ACSV-95,du_an,1396,293160000
DH00052,AXV-150,du_an,728,232960000
DH00052,AXV-150,du_an,633,202560000
DH00052,CXV-4x185,du_an,419,494420000
DH00053,CXV-3x240,du_an,1770,2389500000
DH00054,AXV-150,du_an,635,203200000
DH00055,ACSV-95,du_an,1299,272790000
DH00055,ACSV-95,du_an,1926,404460000
DH00056,CXV-1x300,du_an,1952,1054080000
DH00057,ACSV-95,du_an,1205,253050000
DH00057,AXV-150,du_an,886,283520000
DH00057,AXV-150,du_an,1983,634560000
DH00057,CV-1.5,dan_dung,1539,18468000
DH00058,ACSV-95,du_an,1758,369180000
DH00058,CV-4.0,dan_dung,1851,57381000
DH00059,CXV-1x300,du_an,1822,983880000
DH00060,AXV-150,du_an,544,174080000
DH00060,AXV-150,du_an,418,133760000
DH00061,CXV-3x240,du_an,1882,2540700000
DH00061,ACSV-95,du_an,1695,355950000
DH00062,ACSV-95,du_an,729,153090000
DH00062,ACSV-95,du_an,1752,367920000
DH00062,CXV-4x185,du_an,482,568760000
DH00063,CXV-1x300,du_an,1099,593460000
DH00063,CXV-4x185,du_an,1306,1541080000
DH00064,CXV-1x300,du_an,957,516780000
DH00065,AXV-150,du_an,1176,376320000
DH00065,AXV-150,du_an,1170,374400000
DH00065,CV-1.5,dan_dung,2979,35748000
DH00066,CXV-1x300,du_an,609,328860000
DH00066,CXV-3x240,du_an,626,845100000
DH00067,ACSV-95,du_an,1388,291480000
DH00067,ACSV-95,du_an,1808,379680000
DH00068,CXV-1x300,du_an,1445,780300000
DH00068,ACSV-95,du_an,1571,329910000
DH00069,CXV-1x300,du_an,1636,883440000
DH00070,ACSV-95,du_an,1527,320670000
DH00070,CV-4.0,dan_dung,2607,80817000
DH00005,CXV-3x240,du_an,300,405000000
DH00005,CV-2.5,dan_dung,19184,364500000
DH00010,CXV-3x240,du_an,300,405000000
DH00010,CV-2.5,dan_dung,19184,364500000
DH00015,CXV-3x240,du_an,300,405000000
DH00015,CV-2.5,dan_dung,19184,364500000
DH00004,CXV-4x185,du_an,9000,10620000000
DH00009,CXV-4x185,du_an,9000,10620000000
DH00020,CXV-4x185,du_an,9000,10620000000
